1782296636 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296636 kafka bench-brokers-0                             2581m   3775Mi   
1782296636 kafka bench-brokers-1                             2213m   3713Mi   
1782296636 kafka bench-brokers-2                             2198m   3717Mi   
1782296636 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296636 kafka latency-consumer-tncwh                      859m    128Mi    
1782296636 kafka producer-0-dvtbj                            353m    11Mi     
1782296636 kafka producer-1-5h7fd                            314m    10Mi     
1782296636 kafka producer-2-5rlgc                            358m    10Mi     
1782296636 kafka producer-3-gnvns                            315m    10Mi     
1782296636 kafka producer-4-nr4gx                            221m    9Mi      
1782296636 kafka producer-5-79h27                            237m    10Mi     
1782296636 kafka producer-6-pj9fd                            355m    10Mi     
1782296636 kafka producer-7-79bcw                            362m    9Mi      
1782296636 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   7m      260Mi    
1782296643 spark rtm-bench-driver                             126m   778Mi    
1782296643 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   498m   2370Mi   
1782296643 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   495m   2383Mi   
1782296643 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   561m   2406Mi   
1782296643 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   732m   2395Mi   
1782296643 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296643 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296643 flink flink-kubernetes-operator-59c87b6768-vqvvn   3m    706Mi   
1782296643 kafka bench-brokers-0                             2581m   3775Mi   
1782296643 kafka bench-brokers-1                             2213m   3713Mi   
1782296643 kafka bench-brokers-2                             2198m   3717Mi   
1782296643 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296643 kafka latency-consumer-tncwh                      859m    128Mi    
1782296643 kafka producer-0-dvtbj                            353m    11Mi     
1782296643 kafka producer-1-5h7fd                            314m    10Mi     
1782296643 kafka producer-2-5rlgc                            358m    10Mi     
1782296643 kafka producer-3-gnvns                            315m    10Mi     
1782296643 kafka producer-4-nr4gx                            221m    9Mi      
1782296643 kafka producer-5-79h27                            237m    10Mi     
1782296643 kafka producer-6-pj9fd                            355m    10Mi     
1782296643 kafka producer-7-79bcw                            362m    9Mi      
1782296643 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   7m      260Mi    
1782296651 spark rtm-bench-driver                             126m   778Mi    
1782296651 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   505m   2375Mi   
1782296651 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   511m   2393Mi   
1782296651 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   498m   2406Mi   
1782296651 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   802m   2395Mi   
1782296651 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296651 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296651 flink flink-kubernetes-operator-59c87b6768-vqvvn   5m    706Mi   
1782296651 kafka bench-brokers-0                             2670m   3828Mi   
1782296651 kafka bench-brokers-1                             2419m   3773Mi   
1782296651 kafka bench-brokers-2                             2340m   3762Mi   
1782296651 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296651 kafka latency-consumer-tncwh                      845m    155Mi    
1782296651 kafka producer-0-dvtbj                            367m    11Mi     
1782296651 kafka producer-1-5h7fd                            314m    10Mi     
1782296651 kafka producer-2-5rlgc                            370m    9Mi      
1782296651 kafka producer-3-gnvns                            318m    10Mi     
1782296651 kafka producer-4-nr4gx                            226m    10Mi     
1782296651 kafka producer-5-79h27                            238m    10Mi     
1782296651 kafka producer-6-pj9fd                            365m    10Mi     
1782296651 kafka producer-7-79bcw                            365m    9Mi      
1782296651 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   7m      260Mi    
1782296659 spark rtm-bench-driver                             126m   778Mi    
1782296659 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   505m   2375Mi   
1782296659 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   511m   2393Mi   
1782296659 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   498m   2406Mi   
1782296659 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   802m   2395Mi   
1782296659 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296659 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296659 flink flink-kubernetes-operator-59c87b6768-vqvvn   5m    706Mi   
1782296659 kafka bench-brokers-0                             2670m   3828Mi   
1782296659 kafka bench-brokers-1                             2419m   3773Mi   
1782296659 kafka bench-brokers-2                             2340m   3762Mi   
1782296659 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296659 kafka latency-consumer-tncwh                      845m    155Mi    
1782296659 kafka producer-0-dvtbj                            367m    11Mi     
1782296659 kafka producer-1-5h7fd                            314m    10Mi     
1782296659 kafka producer-2-5rlgc                            370m    9Mi      
1782296659 kafka producer-3-gnvns                            318m    10Mi     
1782296659 kafka producer-4-nr4gx                            226m    10Mi     
1782296659 kafka producer-5-79h27                            238m    10Mi     
1782296659 kafka producer-6-pj9fd                            365m    10Mi     
1782296659 kafka producer-7-79bcw                            365m    9Mi      
1782296659 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   7m      260Mi    
1782296666 spark rtm-bench-driver                             134m   782Mi    
1782296666 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   509m   2376Mi   
