1782322791 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        608m   2356Mi   
1782322791 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        574m   2346Mi   
1782322791 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        583m   2324Mi   
1782322791 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        988m   2359Mi   
1782322791 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322791 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322791 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322800 spark rtm-bench-driver                             32m    716Mi    
1782322800 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        589m   2357Mi   
1782322800 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        544m   2347Mi   
1782322800 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        604m   2352Mi   
1782322800 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        939m   2366Mi   
1782322800 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322800 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322800 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322809 spark rtm-bench-driver                             92m     719Mi    
1782322809 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        654m    2366Mi   
1782322809 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        650m    2348Mi   
1782322809 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        590m    2345Mi   
1782322809 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1003m   2366Mi   
1782322809 spark spark-operator-controller-86d6fc858f-tgr57   1m      16Mi     
1782322809 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322809 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322817 spark rtm-bench-driver                             92m     719Mi    
1782322817 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        654m    2366Mi   
1782322817 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        650m    2348Mi   
1782322817 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        590m    2345Mi   
1782322817 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1003m   2366Mi   
1782322817 spark spark-operator-controller-86d6fc858f-tgr57   1m      16Mi     
1782322817 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322817 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    758Mi   
1782322824 spark rtm-bench-driver                             13m    719Mi    
1782322824 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        583m   2366Mi   
1782322824 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        567m   2348Mi   
1782322824 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        591m   2334Mi   
1782322824 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        969m   2366Mi   
1782322824 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322824 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322824 flink flink-kubernetes-operator-59c87b6768-7drwl   3m    759Mi   
1782322830 spark rtm-bench-driver                             13m    719Mi    
1782322830 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        583m   2366Mi   
1782322830 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        567m   2348Mi   
1782322830 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        591m   2334Mi   
1782322830 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        969m   2366Mi   
1782322830 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322830 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322830 flink flink-kubernetes-operator-59c87b6768-7drwl   3m    759Mi   
1782322837 spark rtm-bench-driver                             7m     719Mi    
1782322837 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        583m   2366Mi   
1782322837 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        563m   2348Mi   
1782322837 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        586m   2334Mi   
1782322837 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        979m   2366Mi   
1782322837 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322837 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322837 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    759Mi   
1782322848 spark rtm-bench-driver                             7m     719Mi    
1782322848 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        583m   2366Mi   
1782322848 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        563m   2348Mi   
1782322848 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        586m   2334Mi   
1782322848 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        979m   2366Mi   
1782322848 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322848 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
